010012104,ANTIOQUIA,MEDELLIN,COLEGIO CALASANZ FEMENINO,4,000021
010012105,ANTIOQUIA,MEDELLIN,COL SAN IGNACIO SD MAYORES,4,000007
010012106,ANTIOQUIA,MEDELLIN,SEC. ESC. CARLOS OBANDO VELASCO,4,000003
010012201,ANTIOQUIA,MEDELLIN,SEC.ESC. AGRUPACION COLOMBIA,4,000031
010012202,ANTIOQUIA,MEDELLIN,I.E. LUCRECIO JARAMILLO VELEZ,4,000044
010012203,ANTIOQUIA,MEDELLIN,COLEGIO BETLEHEMITAS,4,000014
010012204,ANTIOQUIA,MEDELLIN,COL.SAN IGNACIO (SEC.INFANTIL),4,000009
010012205,ANTIOQUIA,MEDELLIN,UNIVERSIDAD ADVENTISTA,4,000009
010012206,ANTIOQUIA,MEDELLIN,UNIVERSIDAD PONTIFICIA BOLIVARIANA,4,000021
010012301,ANTIOQUIA,MEDELLIN,SEC. ESC. SANTA LUCIA,4,000030
010012302,ANTIOQUIA,MEDELLIN,I.E. CONCEJO DE MEDELLIN,4,000052
010012303,ANTIOQUIA,MEDELLIN,I.E. LA PIEDAD,4,000026
010012304,ANTIOQUIA,MEDELLIN,I.E.SANTA ROSA DE LIMA,4,000011
010012305,ANTIOQUIA,MEDELLIN,IE LOLA GONZALEZ,4,000007
010012306,ANTIOQUIA,MEDELLIN,INST FERRINI CALASANZ,4,000006
010012401,ANTIOQUIA,MEDELLIN,I.E. RAFAEL URIBE URIBE,4,000026
010012402,ANTIOQUIA,MEDELLIN,SEC.ESC.RAFAEL URIBE URIBE,4,000011
010012403,ANTIOQUIA,MEDELLIN,SEC. ESC. PEDRO DE CASTRO,4,000035
010012404,ANTIOQUIA,MEDELLIN,I.E.FRANCISCO ANTONIO ZEA,4,000011
010012405,ANTIOQUIA,MEDELLIN,I.E AMERICA,4,000007
010012406,ANTIOQUIA,MEDELLIN,I.E.SAMUEL BARRIENTOS,4,000005
010012407,ANTIOQUIA,MEDELLIN,LICEO SALAZAR Y HERRERA,4,000013
010012501,ANTIOQUIA,MEDELLIN,I.E. BLANQUIZAL,4,000015
010012502,ANTIOQUIA,MEDELLIN,SEC. ESC. REPUBLICA DE PANAMA,4,000016
010012503,ANTIOQUIA,MEDELLIN,I.E JUAN XXIII,4,000011
010012504,ANTIOQUIA,MEDELLIN,SEC. ESC. MONSE�OR PERDOMO,4,000030
010012505,ANTIOQUIA,MEDELLIN,SEC.ESC.PIO XII,4,000023
010012506,ANTIOQUIA,MEDELLIN,I.E.STELLA VELEZ LONDO�O,4,000005
010012507,ANTIOQUIA,MEDELLIN,SEC ESC JUAN DE DIOS ARANZAZU,4,000002
010012601,ANTIOQUIA,MEDELLIN,I.E.LA INDEPENDENCIA,4,000038
